Interface,Description,IP Address,IP Origin,Type,Enabled,Operational Status,Physical Address,MAC Address,Switchport Enabled,Switchport Mode,Access VLAN,Trunk VLAN,Native VLAN,VRF,Bandwidth,MTU,Delay,Encapsulation,Medium,Flow Control Receive,Flow Control Send,Last Change,Port Channel,Port Channel Member,Input Broadcast,Input CRC Errors,Input Errors,Input Unicast,Input Multicast,Input Total,Output Broadcast,Output Discards,Output Errors,Output Unicast,Output Multicast,Output Total,Input Rate,Output Rate
GigabitEthernet16,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.000f,5006.0001.000f,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet15,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.000e,5006.0001.000e,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet14,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.000d,5006.0001.000d,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet13,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.000c,5006.0001.000c,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet12,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.000b,5006.0001.000b,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet11,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.000a,5006.0001.000a,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet10,No Description,10.11.12.11/24,No Origin,CSR vNIC,True,up,5006.0001.0009,5006.0001.0009,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,49331,0,N/A,0,N/A,0,34515,0,0
GigabitEthernet9,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0008,5006.0001.0008,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet8,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0007,5006.0001.0007,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet7,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0006,5006.0001.0006,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet6,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0005,5006.0001.0005,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet5,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0004,5006.0001.0004,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet4,No Description,N/A,N/A,CSR vNIC,True,up,5006.0001.0003,5006.0001.0003,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,1590,0,0
GigabitEthernet3,No Description,N/A,N/A,CSR vNIC,True,up,5006.0001.0002,001e.e69a.3dc5,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,1589,0,0
GigabitEthernet2,No Description,N/A,N/A,CSR vNIC,True,up,5006.0001.0001,5006.0001.0001,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,1589,0,0
GigabitEthernet1,No Description,10.11.99.11/24,No Origin,CSR vNIC,True,up,5006.0001.0000,5006.0001.0000,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,71054,0,N/A,0,N/A,0,24204,5000,0
